Evaluation of a Population with size 30, on Track "Track6", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,1064553; 1	0,03496806; 1	0,02989447; 1	0,02423066; 1	0,02114436; 1	0,0206016; 1	0,01344659; 1	0,01269621; 1	0,01142487; 1	0,01015886; 1	0,008283407; 1	0,007662748; 1	0,006375746; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
14	1; 14	1; 14	1; 14	1; 14	1; 14	1; 14	0,8559132; 14	0,8518561; 14	0,8518561; 14	0,8518561; 14	0,7757214; 14	0,4303554; 14	0,3306986; 14	0,2594346; 14	0,2589709; 14	0,2507541; 14	0,2500756; 14	0,2482927; 14	0,246637; 14	0,2446266; 14	0,2245166; 14	0,08505095; 14	0,07995357; 14	0,05519714; 14	0,01599503; 14	0; 14	0; 14	0; 14	0; 14	0; 
15	1; 15	1; 15	1; 15	1; 15	1; 15	1; 15	1; 15	0,8518561; 15	0,8518561; 15	0,8518561; 15	0,8518561; 15	0,5525922; 15	0,5503421; 15	0,318572; 15	0,2917339; 15	0,2433033; 15	0,2387877; 15	0,2366848; 15	0,2306359; 15	0,2245166; 15	0,0841352; 15	0,08243318; 15	0,06609906; 15	0,05519714; 15	0,01776231; 15	0,01286358; 15	0,00977807; 15	0,009691224; 15	0; 15	0; 
16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	1; 16	0,8518561; 16	0,8518561; 16	0,8518561; 16	0,5739079; 16	0,3149299; 16	0,2476664; 16	0,2412531; 16	0,2410382; 16	0,2405809; 16	0,08593857; 16	0,08560685; 16	0,08559866; 16	0,08522697; 16	0,08510731; 16	0,03318281; 16	0; 16	0; 16	0; 
17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	0,8518561; 17	0,4303554; 17	0,3206915; 17	0,2394335; 17	0,2353294; 17	0,2276688; 17	0,2273573; 17	0,2264849; 17	0,1888055; 17	0,07199395; 17	0,05519714; 17	0,03077884; 17	0,02732578; 17	0,01522048; 17	0,01271252; 17	0,01133913; 17	0,005607278; 17	0,003475033; 17	0; 17	0; 17	0; 
18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	0,8518561; 18	0,7648914; 18	0,5675399; 18	0,5631817; 18	0,5171021; 18	0,5171021; 18	0,263053; 18	0,2608192; 18	0,2600378; 18	0,2500487; 18	0,2457526; 18	0,2456059; 18	0,2381667; 18	0,2264245; 18	0,2245166; 18	0,2245166; 18	0,2015213; 18	0,009485867; 18	0; 18	0; 18	0; 
19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	0,9569611; 19	0,8741449; 19	0,8518561; 19	0,4303554; 19	0,3380471; 19	0,3138314; 19	0,2654117; 19	0,2575037; 19	0,2527212; 19	0,2353592; 19	0,2245166; 19	0,2036813; 19	0,05519714; 19	0,05519714; 19	0,02221228; 19	0,01408243; 19	0,0125384; 19	0,007001349; 19	0; 
20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	0,8518561; 20	0,8518561; 20	0,8518561; 20	0,2743517; 20	0,2637416; 20	0,2615258; 20	0,2520151; 20	0,2491297; 20	0,2447407; 20	0,2446225; 20	0,240389; 20	0,2314823; 20	0,228118; 20	0,2245166; 20	0,1933614; 20	0,08314463; 20	0,07725027; 20	0; 20	0; 20	0; 20	0; 20	0; 
21	1; 21	1; 21	1; 21	1; 21	1; 21	0,8518561; 21	0,5555774; 21	0,3276989; 21	0,3121703; 21	0,2518164; 21	0,2463254; 21	0,2421901; 21	0,2377717; 21	0,2323612; 21	0,2245166; 21	0,2245166; 21	0,2245166; 21	0,2245166; 21	0,1966493; 21	0,1919574; 21	0,0316442; 21	0,03063834; 21	0,00783059; 21	0,00689943; 21	0; 21	0; 21	0; 21	0; 21	0; 21	0; 
22	1; 22	1; 22	1; 22	1; 22	1; 22	0,8518561; 22	0,3356655; 22	0,2545687; 22	0,2514477; 22	0,2511594; 22	0,2459739; 22	0,2414826; 22	0,2328327; 22	0,2245166; 22	0,2245166; 22	0,2245166; 22	0,1966371; 22	0,05519714; 22	0,03726238; 22	0,03079269; 22	0,01998093; 22	0,006012933; 22	0,001649405; 22	0,00127882; 22	0; 22	0; 22	0; 22	0; 22	0; 22	0; 
23	1; 23	1; 23	1; 23	0,8518561; 23	0,5171021; 23	0,4303554; 23	0,4303554; 23	0,4303554; 23	0,3346538; 23	0,2459673; 23	0,2451679; 23	0,2422293; 23	0,2422215; 23	0,2384061; 23	0,2295871; 23	0,2267685; 23	0,2245166; 23	0,2245166; 23	0,2245166; 23	0,2245166; 23	0,2245166; 23	0,1834914; 23	0,1495734; 23	0,05519714; 23	0,03276652; 23	0,02422331; 23	0,006929473; 23	0,001372005; 23	0; 23	0; 
24	1; 24	1; 24	1; 24	1; 24	1; 24	0,8518561; 24	0,5395591; 24	0,4303554; 24	0,3292293; 24	0,2574843; 24	0,2560064; 24	0,2556763; 24	0,245154; 24	0,2362066; 24	0,2261709; 24	0,2023598; 24	0,1918067; 24	0,08540756; 24	0,0832839; 24	0,08222236; 24	0,01487944; 24	0,01281462; 24	0,008472931; 24	0,007640251; 24	0,004372166; 24	0; 24	0; 24	0; 24	0; 24	0; 
25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	0,8518561; 25	0,8518561; 25	0,8518561; 25	0,8518561; 25	0,2661898; 25	0,2628446; 25	0,2627154; 25	0,2421893; 25	0,2391799; 25	0,2380868; 25	0,2342912; 25	0,2311195; 25	0,2245166; 25	0,2028995; 25	0,1957312; 25	0,1850931; 25	0,08465754; 25	0,01956056; 25	0,00539079; 25	0; 25	0; 25	0; 25	0; 
26	1; 26	1; 26	1; 26	1; 26	1; 26	1; 26	1; 26	1; 26	1; 26	0,8518561; 26	0,7398389; 26	0,4303554; 26	0,4303554; 26	0,2576243; 26	0,2549225; 26	0,2402568; 26	0,2386928; 26	0,2368988; 26	0,2345834; 26	0,232199; 26	0,2281812; 26	0,1857079; 26	0,02067126; 26	0,01931633; 26	0,01204262; 26	0,01064876; 26	0,008399121; 26	0,005028928; 26	0,004557611; 26	0; 
27	1; 27	1; 27	1; 27	1; 27	1; 27	1; 27	1; 27	1; 27	1; 27	0,9753008; 27	0,8518561; 27	0,8518561; 27	0,5795273; 27	0,4303554; 27	0,33467; 27	0,2526652; 27	0,2455349; 27	0,241188; 27	0,2357903; 27	0,2302087; 27	0,2254911; 27	0,2245166; 27	0,185227; 27	0,05519714; 27	0,03532738; 27	0,01539242; 27	0,009276426; 27	0,007637409; 27	0; 27	0; 
28	1; 28	1; 28	1; 28	1; 28	1; 28	1; 28	1; 28	1; 28	0,8518561; 28	0,8518561; 28	0,7905129; 28	0,782191; 28	0,5556549; 28	0,2503931; 28	0,2496849; 28	0,2445798; 28	0,2351955; 28	0,2346849; 28	0,2245166; 28	0,02719719; 28	0,02265512; 28	0,02038704; 28	0,0197166; 28	0,01802995; 28	0,01682665; 28	0,01356517; 28	0,00962486; 28	0; 28	0; 28	0; 
